InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
501758,P47748,Ceramic Mug,3,24/04/2010 08:16:31 PM,10.17,13863,Russian Federation
501966,P61977,Stainless Steel Straw Set,2,30/09/2010 07:42:31 AM,49.74,11409,Italy
501952,P46748,Laptop Sleeve,16,04/09/2010 01:48:09 PM,20.33,15801,Japan
501890,P57553,Travel Notebook,13,09/11/2010 07:31:56 PM,5.89,12950,Singapore
500019,P98954,Travel Notebook,8,22/05/2010 03:29:26 PM,13.38,14495,Norway
501166,P56627,Pocket Calculator,2,20/02/2010 02:42:01 PM,39.71,10853,Denmark
500574,P74600,Eco Lunch Box,17,23/02/2010 04:15:38 AM,1.73,13854,Spain
500443,P49056,LED Desk Lamp,12,15/07/2010 03:00:21 PM,10.51,15222,Portugal
500876,P66539,Magnetic Bookmark,15,04/11/2010 04:43:39 AM,41.49,17079,Spain
501129,P37355,Stainless Steel Straw Set,19,02/10/2010 07:50:51 AM,48.75,10830,Australia
501081,P45435,Wireless Mouse,5,06/10/2010 12:19:10 AM,4.77,15949,Singapore
501416,P66677,Sticky Notes Pack,1,27/08/2010 12:49:35 PM,24.94,10512,Ireland
501661,P80323,Reusable Coffee Cup,16,29/09/2010 03:45:00 AM,3.67,17404,China
500703,P56627,Pocket Calculator,5,17/03/2010 06:40:15 PM,39.71,18130,Brazil
501458,P18328,Magnetic Bookmark,14,26/08/2010 09:53:01 PM,37.94,12141,Greece
501011,P48664,Portable Charger,12,07/12/2010 05:25:52 PM,35.27,16617,United Kingdom
501277,P56008,Leather Keychain,5,03/09/2010 06:59:45 PM,13.87,16665,Argentina
501203,P40480,Reusable Coffee Cup,10,06/04/2010 04:42:40 PM,32.39,12489,Mexico
501015,P54225,Stainless Steel Straw Set,13,02/12/2010 08:36:17 AM,1.9,12839,Australia
500496,P46023,Desk Organizer,12,02/02/2010 01:06:40 AM,35.8,12427,United States
500956,P10799,Desk Clock,8,12/10/2010 11:53:47 PM,39.18,17723,Singapore
501630,P89099,Foldable Umbrella,2,04/02/2010 07:35:50 AM,43.48,18945,South Korea
500848,P84329,Clip-on Reading Light,10,25/04/2010 05:39:18 AM,44.66,10417,Brazil
501219,P48243,LED Desk Lamp,18,05/08/2010 04:51:32 PM,14.43,10412,Norway
501020,P64796,Reusable Coffee Cup,5,26/06/2010 11:04:02 PM,7.46,12786,Australia
501571,P48664,Portable Charger,17,31/05/2010 02:02:37 AM,35.27,19879,Singapore
501759,P98731,Ceramic Mug,12,06/10/2010 07:00:50 PM,39.18,15644,Netherlands
500872,P86762,USB-C Cable,17,05/08/2010 02:01:57 PM,4.14,18787,Japan
500396,P60390,Desk Clock,19,21/08/2010 06:47:46 AM,34.33,10395,China
500075,P34842,Pocket Calculator,7,21/02/2010 03:01:38 PM,23.46,12782,Switzerland
501529,P29975,Travel Adapter,16,25/01/2010 03:05:30 AM,45.54,17266,Japan
501492,P97914,Desk Organizer,16,30/06/2010 05:59:05 AM,4.94,12156,Austria
501209,P21545,Wireless Mouse,14,12/06/2010 10:35:02 AM,23.47,19348,South Korea
500732,P86695,Cotton Tote Bag,18,10/09/2010 12:17:41 PM,8.87,17241,Australia
501542,P97914,Desk Organizer,13,02/05/2010 11:11:00 PM,4.94,16938,China
500028,P76262,Travel Notebook,19,17/11/2010 11:08:05 PM,30.59,19580,Sweden
500499,P54225,Stainless Steel Straw Set,7,19/10/2010 09:58:29 AM,1.9,19347,United States
501275,P66677,Sticky Notes Pack,19,16/06/2010 07:01:29 AM,24.94,15301,United Kingdom
501881,P46023,Desk Organizer,3,08/08/2010 01:01:49 AM,35.8,14849,Canada
501081,P10799,Desk Clock,8,01/01/2010 10:54:58 AM,39.18,19576,Norway
501996,P57553,Travel Notebook,17,27/04/2010 06:47:21 PM,5.89,10928,Mexico
501579,P28268,Portable Charger,15,13/06/2010 08:25:54 AM,31.36,15348,New Zealand
501555,P61196,Scented Candle,9,01/01/2010 07:07:46 PM,19.02,13486,United States
500655,P70315,Laptop Sleeve,11,24/12/2010 06:39:19 AM,20.76,15063,Australia
500667,P94268,Wall Calendar,4,12/11/2010 08:52:01 AM,7.64,12745,Netherlands
500539,P35556,Sticky Notes Pack,5,25/05/2010 10:34:48 AM,7.96,13775,Japan
500928,P66332,Aromatherapy Oil,13,15/02/2010 12:37:25 PM,30.57,10924,South Africa
501617,P37355,Stainless Steel Straw Set,5,08/11/2010 04:09:01 PM,48.75,10009,Finland
501265,P81633,Ceramic Mug,13,16/10/2010 05:10:13 PM,39.68,11015,Canada
501088,P44142,Desk Clock,15,04/03/2010 05:24:40 PM,20.73,17449,South Korea
501877,P46023,Desk Organizer,17,15/04/2010 02:25:02 AM,35.8,11633,Greece
500384,P37122,Portable Charger,16,16/07/2010 02:44:20 AM,23.96,12000,Greece
501893,P98954,Travel Notebook,5,24/03/2010 03:44:16 AM,13.38,14809,Brazil
501108,P58231,Sticky Notes Pack,9,24/07/2010 03:51:31 PM,39.2,14780,India
501469,P68434,Sticky Notes Pack,17,05/04/2010 02:00:39 AM,35.04,13419,Spain
501574,P29288,Desk Clock,2,02/11/2010 10:18:51 AM,4.42,10770,France
501984,P15972,Wall Calendar,5,09/11/2010 02:57:51 PM,28.53,14858,South Korea
500766,P55648,Pocket Calculator,15,16/03/2010 02:54:42 PM,28.72,14673,Japan
500102,P30977,Pocket Calculator,2,04/12/2010 01:55:41 AM,12.0,16241,Greece
501358,P70315,Laptop Sleeve,19,06/09/2010 02:50:13 PM,20.76,11331,Sweden
501504,P47748,Ceramic Mug,10,12/10/2010 11:03:31 AM,10.17,12180,Canada
500137,P38151,Pocket Calculator,17,06/12/2010 08:24:37 PM,11.15,13579,Norway
500052,P66332,Aromatherapy Oil,13,21/04/2010 04:45:44 AM,30.57,11906,Argentina
501686,P97968,Reusable Coffee Cup,11,26/12/2010 11:27:20 AM,31.3,17687,Sweden
501218,P11694,Wireless Earbuds,3,02/03/2010 03:08:34 AM,6.08,10671,Italy
501426,P35556,Sticky Notes Pack,5,13/11/2010 06:24:21 AM,7.96,14777,Russian Federation
501428,P56627,Pocket Calculator,1,12/12/2010 02:22:25 PM,39.71,10523,Spain
501968,P47748,Ceramic Mug,9,01/05/2010 12:00:21 PM,10.17,16190,Greece
500238,P70315,Laptop Sleeve,11,03/12/2010 05:51:31 PM,20.76,13644,Sweden
501280,P45435,Wireless Mouse,17,26/07/2010 12:05:02 AM,4.77,15811,France
500638,P46023,Desk Organizer,14,19/03/2010 12:17:27 PM,35.8,18150,Brazil
501409,P66677,Sticky Notes Pack,14,03/01/2010 05:00:30 AM,24.94,15126,France
500918,P40480,Reusable Coffee Cup,11,01/10/2010 09:37:54 AM,32.39,18172,Singapore
501038,P73185,Eco Lunch Box,5,30/09/2010 01:43:49 AM,9.2,11062,South Korea
501497,P61939,Reusable Coffee Cup,17,09/03/2010 02:06:01 AM,28.22,16168,Mexico
500066,P81633,Ceramic Mug,13,21/04/2010 07:14:29 AM,39.68,16371,China
500033,P95924,Portable Charger,8,24/03/2010 10:37:29 PM,10.61,16891,China
500424,P94268,Wall Calendar,6,11/11/2010 04:47:40 AM,7.64,11761,Austria
501989,P64796,Reusable Coffee Cup,1,11/03/2010 07:45:58 PM,7.46,11733,United States
500623,P67813,Soft Throw Blanket,11,07/11/2010 03:37:26 AM,17.51,13735,Belgium
500898,P13728,Reusable Coffee Cup,8,11/08/2010 04:33:09 AM,48.92,19111,United States
501345,P34660,Mini Bluetooth Speaker,11,28/04/2010 11:27:51 PM,30.59,18837,Switzerland
500946,P86970,Reusable Coffee Cup,15,27/10/2010 01:47:49 AM,47.76,16316,Germany
501433,P46023,Desk Organizer,4,20/01/2010 10:16:16 AM,35.8,10224,Finland
500139,P76201,Waterproof Pouch,14,19/05/2010 08:57:34 AM,1.29,11828,Switzerland
501891,P40480,Reusable Coffee Cup,1,18/09/2010 02:44:25 AM,32.39,10009,Japan
500171,P48664,Portable Charger,13,17/11/2010 12:22:22 AM,35.27,11619,South Africa
501636,P86695,Cotton Tote Bag,9,04/04/2010 11:41:18 AM,8.87,13490,New Zealand
501840,P35556,Sticky Notes Pack,12,17/05/2010 06:10:41 PM,7.96,11908,Singapore
500587,P95180,Wireless Mouse,3,01/03/2010 01:39:11 AM,9.04,13391,Greece
501372,P45829,Aromatherapy Oil,11,12/11/2010 04:18:44 AM,13.58,16413,Ireland
500004,P37935,USB-C Cable,14,30/03/2010 03:54:20 AM,29.82,14227,Ireland
501065,P37935,USB-C Cable,18,14/04/2010 11:01:51 AM,29.82,19510,Australia
501714,P91110,Soft Throw Blanket,6,23/05/2010 02:33:04 AM,13.36,14670,Norway
500664,P68557,Laptop Sleeve,1,05/11/2010 10:07:35 AM,2.8,14033,Netherlands
500103,P59297,Portable Charger,7,08/03/2010 11:05:22 PM,7.39,15765,Sweden
501991,P60993,Aromatherapy Oil,15,19/08/2010 12:15:22 AM,5.0,15408,Canada
500419,P45829,Aromatherapy Oil,6,16/10/2010 06:49:39 PM,13.58,10950,China
500597,P14792,Glass Water Bottle,10,19/12/2010 12:49:57 PM,6.85,11865,Brazil
500805,P32720,Pocket Calculator,15,03/07/2010 05:35:03 AM,30.26,16359,Austria
501284,P53395,Glass Water Bottle,4,05/04/2010 11:01:06 AM,39.55,14225,China
501955,P28268,Portable Charger,11,30/10/2010 09:07:57 PM,31.36,16166,China
500362,P68434,Sticky Notes Pack,13,21/04/2010 07:35:06 AM,35.04,10984,United States
501483,P94268,Wall Calendar,4,24/11/2010 12:02:06 AM,7.64,13876,Norway
501129,P66827,Notebook Set,9,23/10/2010 07:08:24 PM,38.24,17196,China
501749,P61196,Scented Candle,1,12/12/2010 12:27:25 AM,19.02,13476,South Korea
500419,P18758,Mini Bluetooth Speaker,1,29/05/2010 03:14:54 AM,35.07,14662,South Africa
500968,P67813,Soft Throw Blanket,9,27/04/2010 03:40:24 AM,17.51,16456,United States
501826,P65312,Aromatherapy Oil,11,29/07/2010 02:24:26 AM,48.56,18070,China
500417,P68049,Phone Stand,11,01/06/2010 06:45:26 PM,46.57,11205,Finland
501203,P18328,Magnetic Bookmark,1,03/06/2010 02:53:15 AM,37.94,14757,Italy
501905,P25764,LED Desk Lamp,7,26/06/2010 02:40:53 PM,37.04,13432,Germany
500341,P68434,Sticky Notes Pack,8,12/08/2010 11:39:09 AM,35.04,19984,Singapore
500214,P61977,Stainless Steel Straw Set,19,12/10/2010 07:45:52 AM,49.74,12717,Austria
500428,P74600,Eco Lunch Box,16,14/09/2010 05:47:57 PM,1.73,12065,Belgium
501394,P92234,Wall Calendar,18,23/04/2010 07:25:37 AM,1.7,15083,Mexico
501245,P13728,Reusable Coffee Cup,19,21/09/2010 03:25:42 AM,48.92,16016,Mexico
501894,P47748,Ceramic Mug,10,28/03/2010 10:46:14 PM,10.17,16305,Italy
501499,P73185,Eco Lunch Box,18,09/11/2010 09:15:34 PM,9.2,10832,Canada
501858,P64796,Reusable Coffee Cup,8,17/08/2010 08:04:18 PM,7.46,13310,New Zealand
501074,P37935,USB-C Cable,15,06/04/2010 08:50:21 AM,29.82,17970,New Zealand
501311,P61196,Scented Candle,14,14/06/2010 06:25:58 PM,19.02,14547,Netherlands
500943,P95924,Portable Charger,7,26/03/2010 02:49:54 PM,10.61,12198,Portugal
501647,P76262,Travel Notebook,19,02/01/2010 11:54:40 AM,30.59,14177,Finland
500814,P44142,Desk Clock,11,14/07/2010 09:21:58 PM,20.73,11409,Norway
500395,P65831,Sticky Notes Pack,5,21/12/2010 04:56:11 AM,48.77,17083,United Kingdom
501303,P22550,Glass Water Bottle,10,03/08/2010 11:55:43 PM,20.35,12106,Portugal
500735,P68557,Laptop Sleeve,18,09/01/2010 09:49:27 AM,2.8,12573,Mexico
501985,P97968,Reusable Coffee Cup,9,04/01/2010 03:32:41 PM,31.3,12541,Canada
500441,P98954,Travel Notebook,2,22/11/2010 05:01:08 PM,13.38,10074,Italy
500041,P45435,Wireless Mouse,9,14/06/2010 09:46:51 PM,4.77,17184,Switzerland
501622,P81633,Ceramic Mug,10,09/11/2010 10:33:02 PM,39.68,12074,Germany
500645,P89099,Foldable Umbrella,8,05/11/2010 08:36:22 PM,43.48,16136,Spain
500905,P83543,LED Desk Lamp,17,09/07/2010 10:06:37 AM,21.67,17643,Netherlands
501599,P89099,Foldable Umbrella,11,19/10/2010 09:50:17 PM,43.48,14788,South Africa
500028,P54225,Stainless Steel Straw Set,11,13/06/2010 06:52:42 AM,1.9,17679,United States
500806,P45435,Wireless Mouse,15,08/11/2010 06:03:12 AM,4.77,16212,Mexico
501785,P80323,Reusable Coffee Cup,19,31/12/2010 10:48:10 AM,3.67,17101,South Africa
500481,P70315,Laptop Sleeve,2,17/01/2010 03:15:12 PM,20.76,12343,Canada
501240,P37122,Portable Charger,11,11/05/2010 07:49:05 AM,23.96,17970,Norway
501252,P34660,Mini Bluetooth Speaker,12,20/12/2010 06:24:11 AM,30.59,14197,Argentina
500274,P53395,Glass Water Bottle,17,26/02/2010 03:52:14 PM,39.55,10329,United States
500011,P58231,Sticky Notes Pack,16,29/05/2010 03:09:04 AM,39.2,15895,Greece
501750,P18328,Magnetic Bookmark,16,30/03/2010 09:30:54 PM,37.94,16609,China
501594,P15972,Wall Calendar,10,09/10/2010 03:37:56 PM,28.53,18592,New Zealand
501109,P66677,Sticky Notes Pack,14,17/05/2010 03:05:22 AM,24.94,17686,Belgium
500687,P61977,Stainless Steel Straw Set,18,23/03/2010 10:01:02 AM,49.74,11500,South Africa
500989,P16125,Cotton Tote Bag,7,13/04/2010 08:48:30 PM,48.05,11466,South Korea
501175,P15972,Wall Calendar,13,02/07/2010 06:31:50 AM,28.53,12983,Spain
500363,P49056,LED Desk Lamp,15,29/07/2010 10:01:13 PM,10.51,15468,France
501131,P14792,Glass Water Bottle,2,03/02/2010 08:10:30 AM,6.85,13241,Japan
501804,P11694,Wireless Earbuds,18,08/02/2010 04:32:51 AM,6.08,13810,Mexico
500028,P91110,Soft Throw Blanket,17,24/08/2010 03:36:24 AM,13.36,18436,Netherlands
500271,P38151,Pocket Calculator,12,25/12/2010 03:31:16 AM,11.15,14361,New Zealand
500576,P49056,LED Desk Lamp,17,07/06/2010 09:40:01 AM,10.51,11165,Portugal
500323,P58231,Sticky Notes Pack,5,14/03/2010 01:14:54 AM,39.2,18896,Switzerland
500816,P89099,Foldable Umbrella,4,02/03/2010 12:30:28 PM,43.48,11828,Ireland
500938,P97968,Reusable Coffee Cup,7,03/03/2010 09:37:16 AM,31.3,18202,Germany
500225,P74600,Eco Lunch Box,7,13/03/2010 03:49:39 PM,1.73,15690,India
501884,P60993,Aromatherapy Oil,19,14/08/2010 11:00:56 PM,5.0,17274,United Kingdom
500752,P71344,Cotton Tote Bag,6,16/02/2010 06:24:22 PM,47.49,18245,Portugal
500688,P44142,Desk Clock,3,27/06/2010 07:03:45 AM,20.73,19788,United Kingdom
500061,P51722,Travel Notebook,3,30/03/2010 04:35:20 PM,21.49,17287,Brazil
500579,P97914,Desk Organizer,5,19/11/2010 12:07:22 PM,4.94,11640,United Kingdom
500987,P14792,Glass Water Bottle,3,19/06/2010 08:06:32 AM,6.85,19547,Belgium
501486,P46748,Laptop Sleeve,5,04/05/2010 09:22:22 AM,20.33,19175,Singapore
500037,P57553,Travel Notebook,5,06/02/2010 02:45:03 AM,5.89,19105,Sweden
500972,P98954,Travel Notebook,5,09/02/2010 02:38:36 AM,13.38,15233,United Kingdom
500223,P66677,Sticky Notes Pack,19,09/02/2010 08:29:21 AM,24.94,11591,United States
500039,P29975,Travel Adapter,19,19/12/2010 06:04:42 PM,45.54,12139,Spain
500815,P60993,Aromatherapy Oil,13,19/06/2010 11:56:46 PM,5.0,19908,Denmark
501690,P37355,Stainless Steel Straw Set,7,10/11/2010 06:59:04 PM,48.75,10556,Finland
501054,P60390,Desk Clock,10,07/06/2010 11:48:54 AM,34.33,16506,China
501950,P84329,Clip-on Reading Light,2,22/10/2010 09:01:53 PM,44.66,19739,Canada
501247,P73185,Eco Lunch Box,17,07/07/2010 10:21:51 AM,9.2,17009,Austria
500855,P66827,Notebook Set,3,12/08/2010 03:41:21 AM,38.24,15352,Austria
501854,P29975,Travel Adapter,15,05/10/2010 03:45:07 AM,45.54,15084,United Kingdom
500915,P45825,Desk Clock,4,12/01/2010 05:44:48 PM,22.47,11040,United States
501929,P85842,Soft Throw Blanket,1,02/11/2010 06:37:01 AM,10.64,16353,Finland
500703,P68557,Laptop Sleeve,12,07/01/2010 03:56:12 PM,2.8,15346,Austria
500906,P29288,Desk Clock,6,14/08/2010 03:58:08 AM,4.42,19645,Brazil
501122,P22550,Glass Water Bottle,9,12/10/2010 09:05:32 PM,20.35,19078,Japan
501098,P56008,Leather Keychain,2,22/01/2010 09:27:38 PM,13.87,13155,Finland
501562,P53395,Glass Water Bottle,17,21/01/2010 10:53:34 AM,39.55,10988,Brazil
501999,P48664,Portable Charger,6,14/09/2010 03:34:17 AM,35.27,15626,Japan
501915,P81633,Ceramic Mug,2,08/10/2010 10:58:31 PM,39.68,13056,Germany
501547,P46023,Desk Organizer,15,13/03/2010 05:59:23 AM,35.8,13610,Norway
500429,P61196,Scented Candle,8,18/07/2010 05:09:48 PM,19.02,13633,Netherlands
500959,P68434,Sticky Notes Pack,3,02/06/2010 01:17:17 PM,35.04,10526,Singapore
500205,P66332,Aromatherapy Oil,12,15/06/2010 06:10:55 PM,30.57,18712,Singapore
501016,P61399,Travel Adapter,2,05/03/2010 11:48:28 PM,31.08,18586,France
500720,P25793,LED Desk Lamp,18,01/02/2010 01:42:34 AM,20.97,18357,Denmark
501324,P55246,Soft Throw Blanket,1,24/09/2010 09:09:41 AM,3.8,13496,Canada
501714,P73185,Eco Lunch Box,9,09/06/2010 08:38:39 PM,9.2,13117,Switzerland
501333,P25793,LED Desk Lamp,1,30/08/2010 05:38:03 PM,20.97,16047,Sweden
501888,P54225,Stainless Steel Straw Set,1,18/03/2010 03:49:45 PM,1.9,11949,Germany
500917,P28268,Portable Charger,2,23/06/2010 09:04:57 PM,31.36,10089,Russian Federation
500142,P68557,Laptop Sleeve,10,13/11/2010 01:49:46 PM,2.8,11895,United States
501925,P22237,Leather Keychain,6,10/02/2010 06:01:21 PM,7.56,19631,China
500715,P61977,Stainless Steel Straw Set,15,25/03/2010 06:27:15 PM,49.74,10458,India
501413,P34842,Pocket Calculator,3,28/12/2010 10:14:37 AM,23.46,17867,Netherlands
500970,P45825,Desk Clock,12,28/10/2010 11:06:26 PM,22.47,11560,Switzerland
500121,P48243,LED Desk Lamp,14,09/08/2010 12:39:16 AM,14.43,11927,India
500694,P68049,Phone Stand,18,06/02/2010 12:48:40 AM,46.57,10661,Mexico
501082,P25793,LED Desk Lamp,10,26/07/2010 08:20:27 AM,20.97,16236,Sweden
501840,P67813,Soft Throw Blanket,5,20/01/2010 10:51:03 AM,17.51,19579,Finland
501585,P28268,Portable Charger,9,16/08/2010 12:06:25 PM,31.36,15631,Switzerland
500334,P83543,LED Desk Lamp,4,05/07/2010 11:43:49 AM,21.67,11394,Singapore
500636,P64796,Reusable Coffee Cup,18,13/08/2010 07:38:10 AM,7.46,12958,Canada
500793,P44142,Desk Clock,4,14/01/2010 01:39:13 PM,20.73,19131,Germany
500374,P45081,Sticky Notes Pack,5,14/11/2010 02:04:37 PM,47.01,14648,Canada
501851,P25793,LED Desk Lamp,7,19/08/2010 12:44:53 PM,20.97,18321,Canada
501168,P45829,Aromatherapy Oil,2,13/06/2010 03:29:48 AM,13.58,14356,Switzerland
500918,P84329,Clip-on Reading Light,3,23/09/2010 09:16:59 PM,44.66,15724,Japan
500861,P44142,Desk Clock,1,20/06/2010 06:31:39 AM,20.73,15895,Denmark
500512,P18328,Magnetic Bookmark,11,23/07/2010 02:44:07 AM,37.94,16116,Ireland
501579,P15972,Wall Calendar,15,08/09/2010 01:55:08 PM,28.53,10619,Italy
501939,P86695,Cotton Tote Bag,14,20/01/2010 12:04:41 AM,8.87,19508,Norway
500796,P48243,LED Desk Lamp,3,21/11/2010 08:17:36 AM,14.43,15178,Japan
501008,P14792,Glass Water Bottle,14,30/06/2010 09:44:17 AM,6.85,18467,Belgium
501239,P45829,Aromatherapy Oil,2,08/02/2010 03:41:43 PM,13.58,19400,South Korea
500494,P48243,LED Desk Lamp,18,06/05/2010 09:02:36 AM,14.43,16294,South Africa
500307,P55246,Soft Throw Blanket,10,07/12/2010 06:26:36 AM,3.8,17175,United States
501375,P67813,Soft Throw Blanket,5,17/10/2010 01:25:20 PM,17.51,11198,New Zealand
500310,P18758,Mini Bluetooth Speaker,11,25/05/2010 06:41:29 AM,35.07,16257,Japan
501671,P70315,Laptop Sleeve,8,24/11/2010 10:20:08 AM,20.76,10986,France
500813,P18758,Mini Bluetooth Speaker,1,31/10/2010 09:55:16 PM,35.07,13124,Greece
500360,P98731,Ceramic Mug,2,04/03/2010 01:35:04 AM,39.18,18133,Norway
501184,P54225,Stainless Steel Straw Set,16,18/03/2010 11:39:10 PM,1.9,13828,Spain
500488,P97968,Reusable Coffee Cup,4,12/05/2010 01:08:34 AM,31.3,13173,Netherlands
501477,P46748,Laptop Sleeve,18,31/12/2010 01:01:52 AM,20.33,19042,Ireland
501367,P81633,Ceramic Mug,15,23/05/2010 02:31:48 AM,39.68,14806,Switzerland
501938,P70315,Laptop Sleeve,1,12/04/2010 05:37:29 PM,20.76,16059,Canada
501290,P89099,Foldable Umbrella,14,22/09/2010 06:16:52 AM,43.48,19153,South Korea
501817,P57553,Travel Notebook,16,02/06/2010 09:06:19 AM,5.89,11177,South Korea
501156,P57553,Travel Notebook,16,09/12/2010 10:41:49 PM,5.89,18234,Switzerland
500497,P73185,Eco Lunch Box,11,17/04/2010 07:26:07 PM,9.2,10406,Argentina
501838,P66827,Notebook Set,15,20/02/2010 12:36:19 PM,38.24,18906,Austria
500788,P73185,Eco Lunch Box,2,21/02/2010 10:06:18 AM,9.2,10963,Germany
501692,P13728,Reusable Coffee Cup,3,07/06/2010 03:24:49 AM,48.92,10105,Germany
501968,P97968,Reusable Coffee Cup,4,20/09/2010 12:15:39 PM,31.3,14445,India
501609,P45825,Desk Clock,13,08/11/2010 01:26:08 PM,22.47,17102,South Korea
501961,P91110,Soft Throw Blanket,10,20/09/2010 04:26:29 PM,13.36,15203,Mexico
501408,P25764,LED Desk Lamp,13,28/04/2010 09:27:48 AM,37.04,16284,United Kingdom
500725,P68557,Laptop Sleeve,9,01/05/2010 08:56:28 PM,2.8,10009,Russian Federation
500681,P37355,Stainless Steel Straw Set,16,09/03/2010 03:30:26 PM,48.75,11316,Finland
501635,P97914,Desk Organizer,7,13/06/2010 06:11:21 PM,4.94,10145,Finland
500992,P54225,Stainless Steel Straw Set,17,10/06/2010 04:43:34 AM,1.9,11249,Russian Federation
500660,P98954,Travel Notebook,16,09/06/2010 04:06:33 PM,13.38,10987,Switzerland
500968,P94268,Wall Calendar,13,15/09/2010 04:55:27 AM,7.64,17421,South Africa
501826,P45435,Wireless Mouse,18,16/06/2010 03:29:14 PM,4.77,16780,Denmark
500998,P98954,Travel Notebook,14,12/04/2010 09:12:09 PM,13.38,11241,Germany
500287,P25793,LED Desk Lamp,14,14/03/2010 08:42:47 AM,20.97,17843,Singapore
